Index,Repository,URL,Stars,Year,Expected_Vuln_Type,Has_HNP_Issue,Total_Findings,File_Path,Line_Number,Problem_Type,Sink_Type,Sink_Function,Exploit_Scenario,Risk_Level,Source_Code,Context,Status
2,RandallAnjie/EmbyController,https://github.com/RandallAnjie/EmbyController,304,2024,php_dangerous_url_construction_https (No defense),YES,2,temp_RandallAnjie\EmbyController\app\media\middleware\MediaAuth.php,34,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
2,RandallAnjie/EmbyController,https://github.com/RandallAnjie/EmbyController,304,2024,php_dangerous_url_construction_https (No defense),YES,2,temp_RandallAnjie\EmbyController\app\media\middleware\MediaAuth.php,35,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
3,xbow-engineering/validation-benchmarks,https://github.com/xbow-engineering/validation-benchmarks,214,2024,php_dangerous_url_construction_https (No defense),SKIP,0,,,,,,,,,timeout
4,Xinslive/MiniPix,https://github.com/Xinslive/MiniPix,113,2024,php_dangerous_url_construction_https (No defense),YES,3,temp_Xinslive\MiniPix\api-avif.php,171,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
4,Xinslive/MiniPix,https://github.com/Xinslive/MiniPix,113,2024,php_dangerous_url_construction_https (No defense),YES,3,temp_Xinslive\MiniPix\api.php,170,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
4,Xinslive/MiniPix,https://github.com/Xinslive/MiniPix,113,2024,php_dangerous_url_construction_https (No defense),YES,3,temp_Xinslive\MiniPix\other\install.php,18,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
5,Flute-CMS/cms,https://github.com/Flute-CMS/cms,113,2024,php_dangerous_url_construction_https (No defense),SKIP,0,,,,,,,,,timeout
6,bayufedra/MBPTL,https://github.com/bayufedra/MBPTL,285,2024,php_dangerous_url_construction_http (No defense),YES,1,temp_bayufedra\MBPTL\mbptl\mbptl-main\administrator\administrator\admin.php,22,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
7,pbootcmspro/PbootCMS,https://github.com/pbootcmspro/PbootCMS,189,2023,php_dangerous_url_construction_https (No defense),YES,10,temp_pbootcmspro\PbootCMS\apps\common\HomeController.php,35,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
7,pbootcmspro/PbootCMS,https://github.com/pbootcmspro/PbootCMS,189,2023,php_dangerous_url_construction_https (No defense),YES,10,temp_pbootcmspro\PbootCMS\apps\home\controller\IndexController.php,459,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
7,pbootcmspro/PbootCMS,https://github.com/pbootcmspro/PbootCMS,189,2023,php_dangerous_url_construction_https (No defense),YES,10,temp_pbootcmspro\PbootCMS\core\code.php,16,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
7,pbootcmspro/PbootCMS,https://github.com/pbootcmspro/PbootCMS,189,2023,php_dangerous_url_construction_https (No defense),YES,10,temp_pbootcmspro\PbootCMS\core\function\handle.php,297,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
7,pbootcmspro/PbootCMS,https://github.com/pbootcmspro/PbootCMS,189,2023,php_dangerous_url_construction_https (No defense),YES,10,temp_pbootcmspro\PbootCMS\core\function\handle.php,645,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
7,pbootcmspro/PbootCMS,https://github.com/pbootcmspro/PbootCMS,189,2023,php_dangerous_url_construction_https (No defense),YES,10,temp_pbootcmspro\PbootCMS\core\function\handle.php,647,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
7,pbootcmspro/PbootCMS,https://github.com/pbootcmspro/PbootCMS,189,2023,php_dangerous_url_construction_https (No defense),YES,10,temp_pbootcmspro\PbootCMS\core\function\handle.php,659,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
7,pbootcmspro/PbootCMS,https://github.com/pbootcmspro/PbootCMS,189,2023,php_dangerous_url_construction_https (No defense),YES,10,temp_pbootcmspro\PbootCMS\core\function\handle.php,661,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
7,pbootcmspro/PbootCMS,https://github.com/pbootcmspro/PbootCMS,189,2023,php_dangerous_url_construction_https (No defense),YES,10,temp_pbootcmspro\PbootCMS\core\function\handle.php,675,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
7,pbootcmspro/PbootCMS,https://github.com/pbootcmspro/PbootCMS,189,2023,php_dangerous_url_construction_https (No defense),YES,10,temp_pbootcmspro\PbootCMS\core\weixin\WxWebAuth.php,59,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
8,gogetta69/TMDB-To-VOD-Playlist,https://github.com/gogetta69/TMDB-To-VOD-Playlist,185,2023,php_dangerous_url_construction_http (No defense),YES,6,temp_gogetta69\TMDB-To-VOD-Playlist\config.php,226,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
8,gogetta69/TMDB-To-VOD-Playlist,https://github.com/gogetta69/TMDB-To-VOD-Playlist,185,2023,php_dangerous_url_construction_http (No defense),YES,6,temp_gogetta69\TMDB-To-VOD-Playlist\create_playlist.php,19,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
8,gogetta69/TMDB-To-VOD-Playlist,https://github.com/gogetta69/TMDB-To-VOD-Playlist,185,2023,php_dangerous_url_construction_http (No defense),YES,6,temp_gogetta69\TMDB-To-VOD-Playlist\create_playlist.php,19,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
8,gogetta69/TMDB-To-VOD-Playlist,https://github.com/gogetta69/TMDB-To-VOD-Playlist,185,2023,php_dangerous_url_construction_http (No defense),YES,6,temp_gogetta69\TMDB-To-VOD-Playlist\create_playlist.php,20,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
8,gogetta69/TMDB-To-VOD-Playlist,https://github.com/gogetta69/TMDB-To-VOD-Playlist,185,2023,php_dangerous_url_construction_http (No defense),YES,6,temp_gogetta69\TMDB-To-VOD-Playlist\create_tv_playlist.php,16,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
8,gogetta69/TMDB-To-VOD-Playlist,https://github.com/gogetta69/TMDB-To-VOD-Playlist,185,2023,php_dangerous_url_construction_http (No defense),YES,6,temp_gogetta69\TMDB-To-VOD-Playlist\play.php,9022,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
9,felixarntz/felixarntz-mu-plugins,https://github.com/felixarntz/felixarntz-mu-plugins,157,2023,php_dangerous_url_construction_http (No defense),YES,1,temp_felixarntz\felixarntz-mu-plugins\felixarntz-mu-plugins\make-site-private.php,60,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
