Framework,Source_File,Source_Line,Source_Snippet,Sink_File,Sink_Line,Sink_Snippet,Guards_Hit,Guards_Files,Sink_API
CodeIgniter,,,,system/core/Config.php,306,"	public function base_url($uri = '', $protocol = NULL)",0,,base_url
CodeIgniter,,,,system/core/Config.php,332,	 * @used-by	CI_Config::base_url(),0,,CI_Config::base_url
CodeIgniter,,,,system/core/Config.php,306,"	public function base_url($uri = '', $protocol = NULL)",0,,base_url
CodeIgniter,,,,system/core/Config.php,332,	 * @used-by	CI_Config::base_url(),0,,CI_Config::base_url
CodeIgniter,,,,system/helpers/html_helper.php,203,"					$img .= ' src=""'.get_instance()->config->base_url($v).'""';",0,,get_instance
CodeIgniter,,,,system/helpers/html_helper.php,295,"						$link .= 'href=""'.$CI->config->base_url($v).'"" ';",0,,>base_url
CodeIgniter,,,,system/helpers/html_helper.php,316,"				$link .= 'href=""'.$CI->config->base_url($href).'"" ';",0,,>base_url
CodeIgniter,,,,system/helpers/url_helper.php,86,"	function base_url($uri = '', $protocol = NULL)",0,,base_url
CodeIgniter,,,,system/helpers/url_helper.php,88,"		return get_instance()->config->base_url($uri, $protocol);",0,,get_instance
CodeIgniter,,,,system/helpers/form_helper.php,103,"		if ($CI->config->item('csrf_protection') === TRUE && strpos($action, $CI->config->base_url()) !== FALSE && ! stripos($form, 'method=""get""'))",0,,>item
CodeIgniter,,,,system/core/Config.php,243,"	public function site_url($uri = '', $protocol = NULL)",0,,site_url
CodeIgniter,,,,system/core/Config.php,331,	 * @used-by	CI_Config::site_url(),0,,CI_Config::site_url
CodeIgniter,,,,system/core/Config.php,243,"	public function site_url($uri = '', $protocol = NULL)",0,,site_url
CodeIgniter,,,,system/core/Config.php,331,	 * @used-by	CI_Config::site_url(),0,,CI_Config::site_url
CodeIgniter,,,,system/libraries/Calendar.php,164,			$this->next_prev_url = $this->CI->config->site_url($this->CI->router->class.'/'.$this->CI->router->method);,0,,>site_url
