API Function,Risk Level,Usage Count,Risk Scenario,Sample Files,Developer Recommendation
assertEquals,MEDIUM,648,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
set,MEDIUM,214,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
create,MEDIUM,122,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
initialize,MEDIUM,112,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
assertSame,MEDIUM,110,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
Request,MEDIUM,90,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
assertFalse,MEDIUM,78,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
assertTrue,MEDIUM,54,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
all,MEDIUM,40,Requires manual analysis for specific impact,RequestMatcher/ExpressionRequestMatcher.php; Tests/RequestTest.php,Recommend configuring protection
get,MEDIUM,40,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
duplicate,MEDIUM,24,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
assertNull,MEDIUM,18,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
expectException,MEDIUM,12,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
fromGlobals,MEDIUM,10,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
assertInstanceOf,MEDIUM,10,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
overrideGlobals,MEDIUM,10,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
remove,MEDIUM,10,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
toArray,MEDIUM,8,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
createFromGlobals,MEDIUM,8,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
assertStringContainsString,MEDIUM,8,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
unset,MEDIUM,7,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
disableHttpMethodParameterOverride,MEDIUM,7,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
expectExceptionMessage,MEDIUM,6,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
enableHttpMethodParameterOverride,MEDIUM,6,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
assertArrayHasKey,MEDIUM,6,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
assertIsResource,MEDIUM,4,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
stream_get_contents,MEDIUM,4,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
json_encode,MEDIUM,4,Response handling - Host header affects response content,Tests/RequestTest.php,Recommend configuring protection
dialect,MEDIUM,4,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
replace,MEDIUM,4,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
Session,MEDIUM,3,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
MockArraySessionStorage,MEDIUM,3,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
str_repeat,MEDIUM,3,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
com,MEDIUM,3,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
matches,MEDIUM,2,Requires manual analysis for specific impact,RequestMatcher/HostRequestMatcher.php; RequestMatcher/ExpressionRequestMatcher.php,Recommend configuring protection
evaluate,MEDIUM,2,Requires manual analysis for specific impact,RequestMatcher/ExpressionRequestMatcher.php,Recommend configuring protection
add,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
REWRITING,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
expectExceptionMessageMatches,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
assertArrayNotHasKey,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
found,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
invoke,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
ReflectionClass,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
fail,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
NewRequest,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
microtime,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
assertLessThan,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
preferSafeContent,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
assertNotSame,MEDIUM,2,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
rawurldecode,MEDIUM,1,URL generation/redirect - Host header affects generated URLs,RequestMatcher/ExpressionRequestMatcher.php,Recommend configuring protection
tearDown,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testInitialize,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetLocale,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetUser,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetPassword,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testIsNoCache,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetContentTypeFormat,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testSetDefaultLocale,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testCreate,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testCreateWithRequestUri,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testCreateWithBadRequestUri,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetRequestUri,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetRequestUriWithoutRequiredHeader,MEDIUM,1,Response handling - Host header affects response content,Tests/RequestTest.php,Recommend configuring protection
testCreateCheckPrecedence,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testDuplicate,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testDuplicateWithFormat,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetPreferredFormat,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetFormatFromMimeType,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetFormatFromMimeTypeWithParameters,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetMimeTypeFromFormat,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetMimeTypesFromFormat,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetMimeTypesFromInexistentFormat,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetFormatWithCustomMimeType,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetUri,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetUriForPath,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetRelativeUriForPath,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetUserInfo,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
