API Function,Risk Level,Usage Count,Risk Scenario,Sample Files,Developer Recommendation
apply_filters,MEDIUM,1395,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
sprintf,MEDIUM,1182,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
elseif,MEDIUM,827,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
add,MEDIUM,690,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
get_option,MEDIUM,536,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
esc_attr,MEDIUM,516,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
do_action,MEDIUM,487,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
current_user_can,MEDIUM,479,Requires manual analysis for specific impact,wp-signup.php; wp-includes/comment.php,Recommend configuring protection
esc_url,HIGH,446,URL generation - host header influences generated URLs,wp-login.php,Must configure trusted proxy and host validation
add_action,MEDIUM,425,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
in_array,MEDIUM,399,Requires manual analysis for specific impact,wp-activate.php; wp-login.php,Recommend configuring protection
prepare,MEDIUM,396,Requires manual analysis for specific impact,wp-includes/ms-blogs.php; wp-includes/http.php,Recommend configuring protection
WP_Error,MEDIUM,378,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
str_replace,MEDIUM,366,Requires manual analysis for specific impact,wp-includes/https-migration.php; wp-login.php,Recommend configuring protection
is_array,MEDIUM,366,Requires manual analysis for specific impact,wp-signup.php; wp-includes/http.php,Recommend configuring protection
is_wp_error,MEDIUM,360,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
add_filter,MEDIUM,308,Requires manual analysis for specific impact,wp-signup.php; wp-activate.php,Recommend configuring protection
get_post,MEDIUM,274,Requires manual analysis for specific impact,wp-includes/ms-blogs.php; wp-includes/comment.php,Recommend configuring protection
unset,MEDIUM,253,Requires manual analysis for specific impact,wp-includes/http.php; wp-includes/ms-blogs.php,Recommend configuring protection
query,MEDIUM,234,Requires manual analysis for specific impact,wp-includes/comment.php,Recommend configuring protection
preg_replace,MEDIUM,229,Requires manual analysis for specific impact,wp-signup.php; wp-login.php,Recommend configuring protection
defined,MEDIUM,220,Requires manual analysis for specific impact,wp-load.php; wp-includes/ms-blogs.php,Recommend configuring protection
str_contains,MEDIUM,219,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
esc_html,MEDIUM,213,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
implode,MEDIUM,207,Requires manual analysis for specific impact,wp-includes/comment.php; wp-login.php,Recommend configuring protection
IXR_Error,MEDIUM,204,Requires manual analysis for specific impact,wp-includes/class-wp-xmlrpc-server.php; wp-includes/comment.php,Recommend configuring protection
array_merge,MEDIUM,199,Requires manual analysis for specific impact,wp-includes/general-template.php; wp-includes/comment.php,Recommend configuring protection
printf,MEDIUM,195,Requires manual analysis for specific impact,wp-activate.php; wp-login.php,Recommend configuring protection
add_cap,MEDIUM,194,Requires manual analysis for specific impact,wp-admin/includes/schema.php,Recommend configuring protection
home_url,HIGH,193,URL generation - host header influences generated URLs,wp-signup.php; wp-login.php,Must configure trusted proxy and host validation
add_query_arg,MEDIUM,191,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
get_results,MEDIUM,186,Requires manual analysis for specific impact,wp-includes/ms-blogs.php; wp-includes/comment.php,Recommend configuring protection
function_exists,MEDIUM,180,Requires manual analysis for specific impact,wp-load.php; wp-includes/ms-blogs.php,Recommend configuring protection
substr,MEDIUM,175,Requires manual analysis for specific impact,wp-includes/ms-blogs.php; wp-includes/comment.php,Recommend configuring protection
get_var,MEDIUM,164,Requires manual analysis for specific impact,wp-includes/ms-blogs.php; wp-includes/http.php,Recommend configuring protection
escape,MEDIUM,163,Requires manual analysis for specific impact,wp-includes/class-wp-xmlrpc-server.php,Recommend configuring protection
MU,MEDIUM,162,Requires manual analysis for specific impact,wp-signup.php; wp-activate.php,Recommend configuring protection
wp_unslash,MEDIUM,158,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
admin_url,HIGH,157,URL generation - host header influences generated URLs,wp-login.php,Must configure trusted proxy and host validation
time,MEDIUM,157,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
explode,MEDIUM,155,Requires manual analysis for specific impact,wp-activate.php; wp-login.php,Recommend configuring protection
is_multisite,HIGH,154,Requires manual analysis for specific impact,wp-login.php,Must configure trusted proxy and host validation
get_error_message,MEDIUM,150,Requires manual analysis for specific impact,wp-signup.php; wp-activate.php,Recommend configuring protection
wp_die,MEDIUM,148,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
login,HIGH,137,Authentication related - Host header affects authentication flow,wp-includes/class-wp-xmlrpc-server.php,Must configure trusted proxy and host validation
get_stylesheet,MEDIUM,124,Requires manual analysis for specific impact,wp-includes/post-template.php; wp-includes/class-wp-customize-nav-menus.php,Recommend configuring protection
add_node,MEDIUM,118,Requires manual analysis for specific impact,wp-includes/admin-bar.php,Recommend configuring protection
update_option,MEDIUM,117,Requires manual analysis for specific impact,wp-login.php,Recommend configuring protection
update,MEDIUM,116,Requires manual analysis for specific impact,wp-includes/comment.php,Recommend configuring protection
wp_parse_args,MEDIUM,115,Requires manual analysis for specific impact,wp-includes/comment.php; wp-includes/http.php,Recommend configuring protection
str_starts_with,MEDIUM,114,Requires manual analysis for specific impact,wp-includes/http.php; wp-login.php,Recommend configuring protection
absint,MEDIUM,113,Requires manual analysis for specific impact,wp-includes/general-template.php; wp-includes/comment.php,Recommend configuring protection
current_theme_supports,MEDIUM,112,Requires manual analysis for specific impact,wp-includes/general-template.php,Recommend configuring protection
array_map,MEDIUM,110,Requires manual analysis for specific impact,wp-includes/comment.php; wp-includes/http.php,Recommend configuring protection
return,MEDIUM,108,Requires manual analysis for specific impact,wp-includes/general-template.php; wp-includes/comment.php,Recommend configuring protection
strtolower,MEDIUM,107,Requires manual analysis for specific impact,wp-signup.php; wp-includes/http.php,Recommend configuring protection
array_keys,MEDIUM,105,Requires manual analysis for specific impact,wp-includes/media.php; wp-includes/http.php,Recommend configuring protection
