function_name,total_flows,developer_usable_flows,files,examples
Other,65,25,"UriSigner.php, SiteURI.php, UrlHelper.php, HandleCors.php, class-wp-http.php",$_SERVER['HTTP_HOST'] = $host; | unset($_SERVER['HTTP_HOST']); | return (string) $uri;
remove_query_arg,16,16,"misc.php, admin-bar.php, canonical.php, class-wp-list-table.php","$current_url = remove_query_arg( $removable_query_args, $current_url ); | $current_url = remove_query_arg( 'paged', $current_url ); | $filtered_url = remove_query_arg( $removable_query_args, $current_url );"
getHost,13,13,"UrlHelper.php, HostRequestMatcher.php, 021.php, Request.php, OutgoingRequest.php",$host = $uri->getHost(); | if ($uri->getHost() !== '') { | $host = $this->getHost();
url,12,12,"DocsCommand.php, Request.php, UrlGenerator.php, nav-menu-template.php, canonical.php","$url = $this->url(); | if (! Str::is(Str::start($url, '*'), $request->url())) { | return $request->url() == $url;"
redirect,9,9,"canonical.php, class-wp-http-streams.php",$redirect     = $original; | if ( ! isset( $redirect['path'] ) ) { | $redirect['path'] = '';
getSchemeAndHttpHost,7,7,"ResponseHeaderLocationSame.php, UriSigner.php, UrlHelper.php, Request.php","return rtrim($this->getSchemeAndHttpHost().$this->getBaseUrl(), '/'); | return $this->getSchemeAndHttpHost(); | return $this->getSchemeAndHttpHost().$this->getBaseUrl().$this->getPathInfo().$qs;"
_remove_qs_args_if_not_in_url,6,6,canonical.php,$redirect['query'] = _remove_qs_args_if_not_in_url( | $redirect['query'] = _remove_qs_args_if_not_in_url( | $redirect['query'] = _remove_qs_args_if_not_in_url(
set_url_scheme,5,5,"misc.php, nav-menu-template.php, pluggable.php, class-wp-list-table.php",$current_url = set_url_scheme( 'http://' . $_SERVER['HTTP_HOST'] . $_SERVER['REQUEST_URI'] ); | $current_url = set_url_scheme( 'http://' . $_SERVER['HTTP_HOST'] . $_SERVER['REQUEST_URI'] ); | $current_url  = set_url_scheme( 'http://' . $_SERVER['HTTP_HOST'] . $_SERVER['REQUEST_URI'] );
esc_url,5,5,"misc.php, class-wp-list-table.php","esc_url( remove_query_arg( 'paged', $current_url ) ), | esc_url( add_query_arg( 'paged', max( 1, $current - 1 ), $current_url ) ), | esc_url( add_query_arg( 'paged', min( $total_pages, $current + 1 ), $current_url ) ),"
getScheme,3,3,"Request.php, SiteURI.php","return substr((string) $uri, strlen($uri->getScheme()) + 1); | return substr((string) $uri, strlen($uri->getScheme()) + 1); | return $this->getScheme().'://'.$this->getHttpHost();"
root,3,3,UrlGenerator.php,"$this->cachedRoot = $this->forcedRoot ?: $this->request->root(); | $root = $this->cachedRoot; | return preg_replace('~'.$start.'~', $scheme, $root, 1);"
is_ssl,3,3,"admin-bar.php, loginout.php, rest-api.php",$current_url = ( is_ssl() ? 'https://' : 'http://' ) . $_SERVER['HTTP_HOST'] . $_SERVER['REQUEST_URI']; | $current_url = ( is_ssl() ? 'https://' : 'http://' ) . $_SERVER['HTTP_HOST'] . $_SERVER['REQUEST_URI']; | if ( is_ssl() && isset( $_SERVER['SERVER_NAME'] ) ) {
wp_redirect,3,3,pluggable.php,wp_redirect( 'https://' . $_SERVER['HTTP_HOST'] . $_SERVER['REQUEST_URI'] ); | wp_redirect( 'https://' . $_SERVER['HTTP_HOST'] . $_SERVER['REQUEST_URI'] ); | wp_redirect( $login_url );
