Index,Repository,URL,Stars,Year,Matched Function
2,RandallAnjie/EmbyController,https://github.com/RandallAnjie/EmbyController,304,2024,php_dangerous_url_construction_https (No defense)
3,xbow-engineering/validation-benchmarks,https://github.com/xbow-engineering/validation-benchmarks,214,2024,php_dangerous_url_construction_https (No defense)
4,Xinslive/MiniPix,https://github.com/Xinslive/MiniPix,113,2024,php_dangerous_url_construction_https (No defense)
5,Flute-CMS/cms,https://github.com/Flute-CMS/cms,113,2024,php_dangerous_url_construction_https (No defense)
6,bayufedra/MBPTL,https://github.com/bayufedra/MBPTL,285,2024,php_dangerous_url_construction_http (No defense)
7,pbootcmspro/PbootCMS,https://github.com/pbootcmspro/PbootCMS,189,2023,php_dangerous_url_construction_https (No defense)
8,gogetta69/TMDB-To-VOD-Playlist,https://github.com/gogetta69/TMDB-To-VOD-Playlist,185,2023,php_dangerous_url_construction_http (No defense)
9,felixarntz/felixarntz-mu-plugins,https://github.com/felixarntz/felixarntz-mu-plugins,157,2023,php_dangerous_url_construction_http (No defense)
10,ZanborPanel/ZanborPanel,https://github.com/ZanborPanel/ZanborPanel,257,2023,php_dangerous_url_construction_https (No defense)
11,csalab-id/csaf,https://github.com/csalab-id/csaf,100,2023,php_dangerous_url_construction_server_name (No defense)
12,codeartx/awesome-security,https://github.com/codeartx/awesome-security,335,2022,php_dangerous_url_construction_server_name (No defense)
13,stokry/wp-sqlite,https://github.com/stokry/wp-sqlite,326,2022,php_dangerous_url_construction_https (No defense)
14,dolevf/Black-Hat-Bash,https://github.com/dolevf/Black-Hat-Bash,289,2022,php_dangerous_url_construction_https (No defense)
15,likeyun/liKeYun_Dwz,https://github.com/likeyun/liKeYun_Dwz,201,2021,php_dangerous_url_construction_server_name (No defense)
16,bellshade/PHP,https://github.com/bellshade/PHP,146,2021,php_dangerous_url_construction_http (No defense)
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense)
18,minical/minical,https://github.com/minical/minical,217,2021,php_dangerous_url_construction_https (No defense)
19,dedecms/DedeCMS,https://github.com/dedecms/DedeCMS,152,2020,php_dangerous_url_construction_http (No defense)
20,LibreBooking/app,https://github.com/LibreBooking/app,551,2020,php_dangerous_url_construction_server_name (No defense)
21,likeyun/liKeYun_TbkTool,https://github.com/likeyun/liKeYun_TbkTool,187,2020,php_dangerous_url_construction_server_name (No defense)
22,Mintimate/OneindexM,https://github.com/Mintimate/OneindexM,155,2020,php_dangerous_url_construction_http (No defense)
23,likeyun/WeChat-Group-HuoMa,https://github.com/likeyun/WeChat-Group-HuoMa,416,2020,php_dangerous_url_construction_server_name (No defense)
24,maxdenaro/maxgraph-youtube-source,https://github.com/maxdenaro/maxgraph-youtube-source,412,2020,php_dangerous_url_construction_http (No defense)
25,xieqifei/OneindexN,https://github.com/xieqifei/OneindexN,106,2020,php_dangerous_url_construction_http (No defense)
26,5ime/API-Admin,https://github.com/5ime/API-Admin,440,2020,php_dangerous_url_construction_server_name (No defense)
27,avedu/oneindex,https://github.com/avedu/oneindex,162,2020,php_dangerous_url_construction_http (No defense)
28,sh377c0d3/Payloads,https://github.com/sh377c0d3/Payloads,909,2020,php_dangerous_url_construction_server_name (No defense)
29,nov23e/Oneindex,https://github.com/nov23e/Oneindex,146,2020,php_dangerous_url_construction_http (No defense)
30,yz20032004/suishouhui,https://github.com/yz20032004/suishouhui,114,2020,php_dangerous_url_construction_http (No defense)
31,Cristy94/markdown-blog,https://github.com/Cristy94/markdown-blog,103,2020,php_dangerous_url_construction_https (No defense)
32,TheWizWikii/TheWizWikii.github.io,https://github.com/TheWizWikii/TheWizWikii.github.io,148,2020,php_dangerous_url_construction_https (No defense)
33,Blokura/Epay,https://github.com/Blokura/Epay,245,2020,php_dangerous_url_construction_http (No defense)
34,robbraxman/braxme,https://github.com/robbraxman/braxme,149,2019,php_dangerous_url_construction_http (No defense)
35,Layne666/oneindex,https://github.com/Layne666/oneindex,226,2019,php_dangerous_url_construction_http (No defense)
36,su18/Stitch,https://github.com/su18/Stitch,189,2019,php_dangerous_url_construction_server_name (No defense)
37,rakesh-m-r/DBMS-MINI-Project,https://github.com/rakesh-m-r/DBMS-MINI-Project,137,2019,php_dangerous_url_construction_http (No defense)
38,PlutoaCharon/AWD-Attack-Defense,https://github.com/PlutoaCharon/AWD-Attack-Defense,131,2019,php_dangerous_url_construction_server_name (No defense)
39,sharpleung/CTF-WAF,https://github.com/sharpleung/CTF-WAF,293,2019,php_dangerous_url_construction_server_name (No defense)
40,Cherry-toto/jizhicms,https://github.com/Cherry-toto/jizhicms,201,2019,php_dangerous_url_construction_http (No defense)
41,phonegapX/CoinEx,https://github.com/phonegapX/CoinEx,106,2019,php_dangerous_url_construction_http (No defense)
42,Casual-Ragnarok/ro-single-server,https://github.com/Casual-Ragnarok/ro-single-server,161,2019,php_dangerous_url_construction_http (No defense)
43,Kevil-hui/BestShell,https://github.com/Kevil-hui/BestShell,106,2019,php_dangerous_url_construction_server_name (No defense)
44,quarkcloudio/fullstack-backend,https://github.com/quarkcloudio/fullstack-backend,283,2019,php_dangerous_url_construction_server_name (No defense)
45,glzjin/20190511_awd_docker,https://github.com/glzjin/20190511_awd_docker,207,2019,php_dangerous_url_construction_http (No defense)
46,yankovalenko94/Webdev2019,https://github.com/yankovalenko94/Webdev2019,260,2019,php_dangerous_url_construction_http (No defense)
47,shadowsocks/shadow-shop,https://github.com/shadowsocks/shadow-shop,109,2019,php_dangerous_url_construction_https (No defense)
48,baomihuahua/lolimeow,https://github.com/baomihuahua/lolimeow,762,2019,php_dangerous_url_construction_https (No defense)
49,TideSec/WDScanner,https://github.com/TideSec/WDScanner,2089,2019,php_dangerous_url_construction_http (No defense)
50,Nu1LCTF/n1ctf-2019,https://github.com/Nu1LCTF/n1ctf-2019,119,2018,php_dangerous_url_construction_server_name (No defense)
51,landrok/activitypub,https://github.com/landrok/activitypub,279,2018,php_dangerous_url_construction_http (No defense)
52,iamxjb/rest-api-to-miniprogram,https://github.com/iamxjb/rest-api-to-miniprogram,243,2018,php_dangerous_url_construction_http (No defense)
53,bovas85/nuxt-headless,https://github.com/bovas85/nuxt-headless,300,2018,php_dangerous_url_construction_https (No defense)
